"","FID","site_id","name","lon","lat","ONIMI","OKOOD","MNIMI","MKOOD","lau2","lon_cntr","lat_cntr"
"527",526,603,"SILLA",27.75916667,59.39860833,"Sillamäe linn",735,"Ida-Viru maakond",44,735,27.7427925153,59.3992002053
"528",527,908,"SILKO",27.74860556,59.40360556,"Sillamäe linn",735,"Ida-Viru maakond",44,735,27.7427925153,59.3992002053
"529",528,781,"VOHMA",25.55943333,58.62749167,"Võhma linn",912,"Viljandi maakond",84,912,25.5540248558,58.630529383
"530",529,453,"PALDI",24.06888333,59.35111389,"Paldiski linn",580,"Harju maakond",37,580,24.031023384,59.3462852456
"531",530,457,"PALSA",24.08471667,59.33416389,"Paldiski linn",580,"Harju maakond",37,580,24.031023384,59.3462852456
"532",531,111,"HAREH",23.53250556,58.95194444,"Haapsalu linn",183,"Lääne maakond",57,183,23.5396481618,58.9340921176
"533",532,103,"HAAPS",23.54193889,58.94166667,"Haapsalu linn",183,"Lääne maakond",57,183,23.5396481618,58.9340921176
"534",533,116,"HFORT",23.54757222,58.92783333,"Haapsalu linn",183,"Lääne maakond",57,183,23.5396481618,58.9340921176
"535",534,945,"HAKAS",23.55861111,58.93388889,"Haapsalu linn",183,"Lääne maakond",57,183,23.5396481618,58.9340921176
"536",535,763,"VILHO",25.59832222,58.36805278,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"537",536,765,"VILMA",25.58258889,58.34955556,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"538",537,767,"VILTU",25.59832222,58.36389167,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"539",538,922,"VVAKS",25.58054444,58.36110556,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"540",539,764,"VILJA",25.59459167,58.37431944,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"541",540,877,"VKOST",25.62341389,58.36943056,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"542",541,769,"VIPLA",25.56917222,58.36021944,"Viljandi linn",897,"Viljandi maakond",84,897,25.59128476,58.3599325495
"543",542,250,"KOJAR",27.27027222,59.40139167,"Kohtla-Järve linn",322,"Ida-Viru maakond",44,322,27.339327476,59.3651226829
